1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:pos
1985314	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1985318	ⲏ	obl	ϩⲏ	'NULL'	ϩⲏ	N
1986127	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1986130	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1986231	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1986234	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1988387	ⲑ]	det	ⲡ	'NULL'	ⲧ	ART	1988390	ⲉ̣	root	ϩⲉ	'NULL'	ϩⲉ	N
1988598	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1988603	ⲉ	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
1989382	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1989385	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1990105	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1990110	ϩⲧⲙⲧⲱⲙ	acl	ϩⲧⲟⲙⲧⲙ	'NULL'	ϩⲧⲙⲧⲱⲙ	VSTAT
1992238	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1992241	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1992343	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1992346	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1992673	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1992676	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1993527	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1993530	ϩⲙ	case	ϩⲛ	'NULL'	ϩⲙ	PREP
1996057	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1996060	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1996489	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1996492	ϩⲏⲡ	acl	ϩⲱⲡ	'NULL'	ϩⲏⲡ	VSTAT
1997827	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1997830	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1997963	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1997968	ⲉ	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
1998986	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1998989	ϩⲙⲟⲟⲥ	acl	ϩⲙⲟⲟⲥ	'NULL'	ϩⲙⲟⲟⲥ	V
1999580	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1999584	ⲁⲓ̈ⲃⲉⲓⲥ	obl	ϩⲁⲓⲃⲉⲓⲥ	'NULL'	ϩⲁⲓⲃⲉⲓⲥ	N
1999821	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1999825	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
2000258	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	2000261	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
2000684	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	2000687	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
2000783	ⲡⲱⲧ	parataxis	ⲡⲱⲧ	'NULL'	ⲡⲱⲧ	V	2000786	ϩⲱ ⲱ	advmod	ϩⲱⲱ	'NULL'	ϩⲱⲱ	IMOD
2001043	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	2001048	ⲉ	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
2002073	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	2002076	ϩⲏⲛ	acl	ϩⲱⲛ	'NULL'	ϩⲏⲛ	VSTAT
2002445	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	2002448	ϩⲙ	case	ϩⲛ	'NULL'	ϩⲙ	PREP
2002582	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	2002587	ⲉ	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
2002636	ⲉⲑ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	2002639	ⲟⲟⲩ	acl	ϩⲟⲟⲩ	'NULL'	ϩⲟⲟⲩ	VSTAT
2002651	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	2002654	ϩⲉⲓⲧⲟⲩⲱ	case	ϩⲓⲧⲟⲩⲛ	'NULL'	ϩⲓⲧⲟⲩⲱ	PREP
2004244	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	2004249	ⲉ	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
2004311	ⲉⲑ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	2004314	ⲉⲓ̈	case	ϩⲓ	'NULL'	ϩⲓ	PREP
